
========================================
Start Time             : 2026-07-15T00:35:25.243569
========================================
52 | toTitleCase | statement | 100.00% | 6.61ms | 202.48MB | 3 cases
84 | toUpperCase | statement | 100.00% | 8.04ms | 212.48MB | 3 cases
24 | zFunction | statement | 86.67% | 4.47ms | 216.25MB | 1 cases

========================================
Start Time             : 2026-07-15T03:34:33.668514
========================================
92 | encode | branch | 100.00% | 5.63ms | 117.40MB | 2 cases
118 | arrange | branch | 100.00% | 6.61ms | 131.90MB | 4 cases
31 | areAnagramsByCountingCharsSingleArray | branch | 75.00% | 27.37ms | 92.45MB | 2 cases
33 | areAnagramsBySingleFreqArray | branch | 62.50% | 28.66ms | 221.68MB | 2 cases
20 | isAllCharactersSame | branch | 100.00% | 3.61ms | 178.41MB | 4 cases
122 | countCharacters | branch | 100.00% | 11.25ms | 127.59MB | 2 cases
79 | wordCount | branch | 100.00% | 19.90ms | 229.54MB | 2 cases
114 | calculateHammingDistance | branch | 100.00% | 5.37ms | 182.64MB | 4 cases
12 | charEquals | branch | 100.00% | 1.37ms | 146.04MB | 2 cases
76 | isAlphabeticIsogram | branch | 50.00% | 20.32ms | 125.43MB | 2 cases
54 | kasai | branch | 66.67% | 3.83ms | 115.05MB | 4 cases
108 | computePrefixFunction | branch | 66.67% | 4.55ms | 150.15MB | 2 cases
56 | lengthOfLastWord | branch | 100.00% | 2.56ms | 156.29MB | 2 cases
41 | toLowerCase | branch | 100.00% | 2.98ms | 166.30MB | 1 cases
59 | preprocess | branch | 75.00% | 2.60ms | 184.67MB | 2 cases
127 | myAtoi | branch | 43.75% | 11.03ms | 175.05MB | 8 cases
111 | isPalindromeRecursion | branch | 100.00% | 2.18ms | 195.26MB | 3 cases
112 | isPalindromeTwoPointer | branch | 100.00% | 2.65ms | 105.99MB | 3 cases
65 | reverseStringUsingRecursion | branch | 100.00% | 26.78ms | 120.20MB | 2 cases
49 | compress | branch | 100.00% | 51.02ms | 128.05MB | 4 cases
50 | appendCount | branch | 100.00% | 55.04ms | 125.00MB | 2 cases
52 | toTitleCase | branch | 100.00% | 9.04ms | 118.41MB | 3 cases
84 | toUpperCase | branch | 100.00% | 5.53ms | 221.71MB | 3 cases
24 | zFunction | branch | 75.00% | 4.77ms | 209.25MB | 1 cases

========================================
Start Time             : 2026-07-15T03:39:43.218657
========================================
92 | encode | mcdc | 100.00% | 6.60ms | 98.71MB | 3 cases
118 | arrange | mcdc | 100.00% | 7.96ms | 135.18MB | 5 cases
31 | areAnagramsByCountingCharsSingleArray | mcdc | 75.00% | 26.71ms | 95.06MB | 2 cases
33 | areAnagramsBySingleFreqArray | mcdc | 62.50% | 27.64ms | 224.92MB | 2 cases
20 | isAllCharactersSame | mcdc | 100.00% | 3.43ms | 185.81MB | 4 cases
122 | countCharacters | mcdc | 100.00% | 11.51ms | 135.25MB | 2 cases
79 | wordCount | mcdc | 100.00% | 12.14ms | 86.38MB | 3 cases
114 | calculateHammingDistance | mcdc | 100.00% | 6.03ms | 191.77MB | 5 cases
12 | charEquals | mcdc | 100.00% | 1.34ms | 152.15MB | 2 cases
76 | isAlphabeticIsogram | mcdc | 57.14% | 25.72ms | 141.79MB | 3 cases
54 | kasai | mcdc | 57.69% | 5.58ms | 142.24MB | 6 cases
108 | computePrefixFunction | mcdc | 50.00% | 4.49ms | 177.37MB | 2 cases
56 | lengthOfLastWord | mcdc | 100.00% | 3.87ms | 177.99MB | 3 cases
41 | toLowerCase | mcdc | 100.00% | 3.45ms | 173.62MB | 1 cases
59 | preprocess | mcdc | 75.00% | 2.59ms | 178.48MB | 2 cases
127 | myAtoi | mcdc | 50.00% | 12.86ms | 198.17MB | 9 cases
111 | isPalindromeRecursion | mcdc | 100.00% | 3.05ms | 151.45MB | 4 cases
112 | isPalindromeTwoPointer | mcdc | 100.00% | 3.37ms | 189.72MB | 4 cases
65 | reverseStringUsingRecursion | mcdc | 100.00% | 27.61ms | 144.08MB | 2 cases
49 | compress | mcdc | 100.00% | 50.89ms | 168.37MB | 4 cases
50 | appendCount | mcdc | 100.00% | 54.60ms | 189.03MB | 2 cases
52 | toTitleCase | mcdc | 100.00% | 7.49ms | 203.78MB | 4 cases
